Tempo_Ephemeris_s,Tipo_Dado_ID,Banda_ID,Observavel
1753118791,11,2,-32725.850999831
1753118792,11,2,-32725.403663634
1753118792,11,3,-124356.640960692
1753118793,11,2,-32724.877714156
1753118793,11,3,-124354.77235794
1753118794,11,2,-32724.552665709
1753118794,11,3,-124352.947277068
1753118795,11,3,-124351.022430419
1753118795,11,2,-32723.680604934
1753118796,11,2,-32723.287395476
1753118796,11,3,-124349.200626372
1753118797,11,3,-124347.389064788
1753118797,11,2,-32722.943159102
1753118798,11,2,-32722.694797515
1753118798,11,3,-124345.573169707
1753118799,11,3,-124343.725742339
1753118799,11,2,-32722.016931533
1753118800,11,2,-32721.630769729
1753118800,11,3,-124341.856601714
1753118801,11,2,-32721.142551421
1753118801,11,3,-124340.005985259
1753118802,11,2,-32720.522436141
1753118802,11,3,-124338.177936553
1753118803,11,2,-32720.312631606
1753118803,11,3,-124336.329917907
1753118804,11,3,-124334.497707366
1753118804,11,2,-32719.794290542
1753118805,11,3,-124332.62706375
1753118805,11,2,-32719.191532134
1753118806,11,2,-32718.573579787
1753118806,11,3,-124330.725330352
1753118807,11,3,-124328.951465606
1753118807,11,2,-32718.225620269
1753118808,11,2,-32717.943840026
1753118808,11,3,-124327.090522765
1753118809,11,2,-32717.071907042
1753118809,11,3,-124325.176952361
1753118810,11,2,-32716.781526565
1753118810,11,3,-124323.373867034
1753118811,11,2,-32716.472320556
1753118811,11,3,-124321.581272124
1753118812,11,2,-32715.737213134
1753118812,11,3,-124319.658039092
1753118813,11,3,-124317.886249541
1753118813,11,2,-32715.492822646
1753118814,11,2,-32715.180618285
1753118814,11,3,-124316.0452919
1753118815,11,3,-124314.069873809
1753118815,11,2,-32714.207376479
1753118816,11,3,-124312.178394317
1753118816,11,2,-32713.538030623
1753118817,11,3,-124310.431427001
1753118817,11,2,-32713.268144607
1753118818,11,3,-124308.549091338
1753118818,11,2,-32712.931404113
1753118819,11,3,-124306.667713164
1753118819,11,2,-32712.289964675
1753118820,11,3,-124304.823444365
1753118820,11,2,-32711.899736403
1753118821,11,3,-124303.007083892
1753118821,11,2,-32711.292098998
1753118822,11,2,-32710.838685988
1753118822,11,3,-124301.094821929
1753118823,11,2,-32710.610715865
1753118823,11,3,-124299.352691649
1753118824,11,2,-32710.015283584
1753118824,11,3,-124297.446891784
1753118825,11,2,-32709.999130248
1753118825,11,3,-124295.713108062
1753118826,11,3,-124293.862415313
1753118826,11,2,-32709.317972182
1753118827,11,3,-124291.930923461
1753118827,11,2,-32708.736225127
1753118828,11,3,-124290.152156829
1753118828,11,2,-32708.534341811
1753118829,11,2,-32707.742406844
1753118829,11,3,-124288.261585235
1753118830,11,3,-124286.372142791
1753118830,11,2,-32707.166999816
1753118831,11,2,-32706.678174972
1753118831,11,3,-124284.500370025
1753118832,11,2,-32706.104625701
1753118832,11,3,-124282.629611968
1753118833,11,2,-32705.538131713
1753118833,11,3,-124280.769390105
1753118834,11,3,-124278.899127959
1753118834,11,2,-32705.136035918
1753118835,11,3,-124277.16921997
1753118835,11,2,-32704.997476577
1753118836,11,3,-124275.286422728
1753118836,11,2,-32704.385864257
1753118837,11,2,-32704.070377349
1753118837,11,3,-124273.467258452
1753118838,11,3,-124271.474735259
1753118838,11,2,-32703.149770736
1753118839,11,2,-32702.750520705
1753118839,11,3,-124269.719738006
1753118840,11,2,-32702.360204696
1753118840,11,3,-124267.800582885
1753118841,11,2,-32701.467502593
1753118841,11,3,-124265.900047301
1753118842,11,2,-32701.295801162
1753118842,11,3,-124264.116207122
1753118843,11,2,-32700.813314437
1753118843,11,3,-124262.272403716
1753118844,11,3,-124260.393028258
1753118844,11,2,-32700.253383635
1753118845,11,2,-32699.620492934
1753118845,11,3,-124258.455940246
1753118846,11,3,-124256.725650786
1753118846,11,2,-32699.401344298
1753118847,11,2,-32698.792284011
1753118847,11,3,-124254.79830551
1753118848,11,2,-32698.320198058
1753118848,11,3,-124252.973697661
1753118849,11,2,-32697.527126311
1753118849,11,3,-124251.025547027
1753118850,11,2,-32696.97887802
1753118850,11,3,-124249.182735442
1753118851,11,3,-124247.289775847
1753118851,11,2,-32696.488191604
1753118852,11,3,-124245.477504729
1753118852,11,2,-32696.142251967
1753118853,11,2,-32695.566270827
1753118853,11,3,-124243.611309051
1753118854,11,3,-124241.708057403
1753118854,11,2,-32695.160444259
1753118855,11,2,-32694.329889296
1753118855,11,3,-124239.823284148
1753118856,11,2,-32693.92544937
1753118856,11,3,-124237.99123001
1753118857,11,2,-32693.318923949
1753118857,11,3,-124236.059955596
1753118858,11,3,-124234.365692138
1753118858,11,2,-32693.236330031
1753118859,11,2,-32692.697154998
1753118859,11,3,-124232.445217132
1753118860,11,3,-124230.653850554
1753118860,11,2,-32692.313459395
1753118861,11,2,-32691.927795409
1753118861,11,3,-124228.802379607
1753118862,11,3,-124226.940273284
1753118862,11,2,-32691.41821289
1753118863,11,2,-32690.960687636
1753118863,11,3,-124225.11358261
1753118864,11,2,-32690.312978744
1753118864,11,3,-124223.179851531
1753118865,11,2,-32689.978750228
1753118865,11,3,-124221.382656096
1753118866,11,3,-124219.546131133
1753118866,11,2,-32689.562919616
1753118867,11,3,-124217.662319182
1753118867,11,2,-32688.871540069
1753118868,11,3,-124215.797115325
1753118868,11,2,-32688.497137069
1753118869,11,2,-32687.938699721
1753118869,11,3,-124213.886390685
1753118870,11,3,-124212.106628417
1753118870,11,2,-32687.450635909
1753118871,11,2,-32687.15888214
1753118871,11,3,-124210.265010833
1753118872,11,2,-32686.830326079
1753118872,11,3,-124208.397068023
1753118873,11,2,-32686.26504135
1753118873,11,3,-124206.573482512
1753118874,11,2,-32685.663591384
1753118874,11,3,-124204.673763274
1753118875,11,2,-32684.993141173
1753118875,11,3,-124202.748817443
1753118876,11,3,-124200.981735228
1753118876,11,2,-32684.645896911
1753118877,11,2,-32684.090478896
1753118877,11,3,-124199.073596953
1753118878,11,3,-124197.313789367
1753118878,11,2,-32683.919609069
1753118879,11,3,-124195.302104949
1753118879,11,2,-32683.037286757
1753118880,11,3,-124193.580753325
1753118880,11,2,-32682.886716842
1753118881,11,3,-124191.581615447
1753118881,11,2,-32681.89901924
1753118882,11,3,-124189.804897307
1753118882,11,2,-32681.686668395
1753118883,11,3,-124187.90755844
1753118883,11,2,-32681.218715667
1753118884,11,3,-124186.086387633
1753118884,11,2,-32680.769464492
1753118885,11,2,-32680.320316314
1753118885,11,3,-124184.218345641
1753118886,11,2,-32679.818593978
1753118886,11,3,-124182.381954192
1753118887,11,2,-32679.094995498
1753118887,11,3,-124180.448062896
1753118888,11,2,-32678.821788787
1753118888,11,3,-124178.610164641
1753118889,11,3,-124176.850566863
1753118889,11,2,-32678.70751953
1753118890,11,3,-124174.961788176
1753118890,11,2,-32677.911983489
1753118891,11,3,-124173.099674224
1753118891,11,2,-32677.502305983
1753118892,11,2,-32677.18957138
1753118892,11,3,-124171.264980315
1753118893,11,2,-32676.609176635
1753118893,11,3,-124169.414733886
1753118894,11,2,-32676.168926238
1753118894,11,3,-124167.520893096
1753118895,11,2,-32675.548381804
1753118895,11,3,-124165.6649971
1753118896,11,2,-32674.812227248
1753118896,11,3,-124163.687820434
1753118897,11,2,-32674.140407561
1753118897,11,3,-124161.832496642
1753118898,11,2,-32673.706014632
1753118898,11,3,-124159.935699462
1753118899,11,3,-124158.143611907
1753118899,11,2,-32673.39925003
1753118900,11,2,-32672.707483291
1753118900,11,3,-124156.257694243
1753118901,11,3,-124154.464847564
1753118901,11,2,-32672.656162261
1753118902,11,2,-32671.470935821
1753118902,11,3,-124152.462425231
1753118903,11,2,-32671.480865478
1753118903,11,3,-124150.675144195
1753118904,11,2,-32670.92510414
1753118904,11,3,-124148.817180633
1753118905,11,3,-124146.95317459
1753118905,11,2,-32670.367893218
1753118906,11,2,-32669.706174849
1753118906,11,3,-124145.057704925
1753118907,11,3,-124143.08623886
1753118907,11,2,-32668.872585296
1753118908,11,2,-32668.410074233
1753118908,11,3,-124141.215473174
1753118909,11,3,-124139.414314269
1753118909,11,2,-32668.105724334
1753118910,11,2,-32667.800903319
1753118910,11,3,-124137.610012053
1753118911,11,2,-32667.328685759
1753118911,11,3,-124135.727893828
1753118912,11,3,-124133.913204192
1753118912,11,2,-32666.898519515
1753118913,11,2,-32666.297122954
1753118913,11,3,-124131.960247039
1753118914,11,2,-32665.652959823
1753118914,11,3,-124130.102859496
1753118915,11,3,-124128.330593108
1753118915,11,2,-32665.591297149
1753118916,11,2,-32664.881422042
1753118916,11,3,-124126.418331145
1753118917,11,3,-124124.578975676
1753118917,11,2,-32664.330871581
1753118918,11,2,-32664.275842666
1753118918,11,3,-124122.736087798
1753118919,11,2,-32663.759223937
1753118919,11,3,-124120.949775695
1753118920,11,2,-32662.997076034
1753118920,11,3,-124118.961696624
1753118921,11,3,-124117.107101439
1753118921,11,2,-32662.3921566
1753118922,11,2,-32662.010133742
1753118922,11,3,-124115.229732512
1753118923,11,3,-124113.459323882
1753118923,11,2,-32661.722177504
1753118924,11,2,-32661.157533645
1753118924,11,3,-124111.588645934
1753118925,11,3,-124109.664348601
1753118925,11,2,-32660.582710265
1753118926,11,2,-32660.164926528
1753118926,11,3,-124107.81166458
1753118927,11,2,-32659.744974135
1753118927,11,3,-124105.975360869
1753118928,11,2,-32659.321672439
1753118928,11,3,-124104.119487761
1753118929,11,2,-32658.655218123
1753118929,11,3,-124102.242507934
1753118930,11,3,-124100.293514251
1753118930,11,2,-32658.199014663
1753118931,11,3,-124098.679244994
1753118931,11,2,-32658.262025832
1753118932,11,2,-32657.161296843
1753118932,11,3,-124096.679782866
1753118933,11,3,-124094.797718047
1753118933,11,2,-32656.886016845
1753118934,11,2,-32656.162874221
1753118934,11,3,-124092.877971648
1753118935,11,2,-32655.681446074
1753118935,11,3,-124091.01289749
1753118936,11,2,-32655.358522414
