source_id,ra,dec,astrometric_excess_noise
2545288672916748160,5.472312526115014,0.056094458641838575,40.097347
2545290807516940672,5.147969564463113,-0.10010115180145404,26.75516
2545290975019098240,5.170163989616138,-0.072726594903929,2.017418
2545292010107719680,5.096913994093256,-0.04630997474871158,10.176053
2545292491143394944,5.195246839291407,-0.052590214345164664,3.035399
2545292624286423680,5.224425763236211,-0.03455722624687744,1.2627097
2545301076782355968,5.25419592692246,0.12063974378394057,21.111795
2545303554979808256,5.1916595185899,0.10538316003567663,10.21352
2545304237878310784,5.252866087343638,0.15610709541714338,15.014203
2545304444036748800,5.24895071280577,0.16605811991836397,20.232689
2545305272967087104,5.208469820021265,0.1858890697250478,30.279634
2545305543548398592,5.201677506003273,0.20059201935935708,31.968876
2545307330254817408,5.276739284357914,0.24111430081421448,18.179125
2545308670284327168,4.5932219848265365,-0.23047897074572507,2.4984167
2545314202202066432,4.468040035336272,-0.10957031847377248,30.63343
2545320490034441216,4.8397779102629315,0.012842801389705795,1.5897495
2545322796433219072,4.662917909878283,0.03179163558758234,17.317532
2545325575275567360,4.415552012609499,-0.11626069792333872,1.483752
2545327091400498816,4.391015936118133,-0.06738623262333712,4.6246266
2545328942530070272,4.447735297285884,0.001908687485077764,1.7452873
2545336505967129728,4.648333589558853,0.09808112764542695,1.3268067
2545339598345631104,4.532210271515507,0.1563340341550534,14.9291315
